Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg)
46.99390862,0.913595165,106.6448819,137.1272447,71.3157572,-21.42184658
47.93472677,0.92672447,107.5207052,136.783628,72,-22.64595209
48.87554492,0.939791388,108.3889879,136.4213795,72,-23.87005761
49.81636308,0.952858307,109.2493337,136.0406645,72,-25.09416313
50.75718123,0.965925226,110.1013499,135.6416568,72,-26.31826865
51.69799939,0.978992145,110.9446476,135.2245384,72,-27.54237417
52.63881754,0.992059064,111.778842,134.7894999,72,-28.76647969
53.57963569,1.005125983,112.6035523,134.3367397,72,-29.99058521
54.52045385,1.018192901,113.418402,133.8664645,72,-31.21469073
55.461272,1.03125982,114.2230192,133.378889,72,-32.43879624
56.40209016,1.044326739,115.0170367,132.8742356,72,-33.66290176
57.34290831,1.057393658,115.8000921,132.3527348,72,-34.88700728
58.28372646,1.070460577,116.5718279,131.8146246,72,-36.1111128
59.22454462,1.083527495,117.3318919,131.2601505,72,-37.33521832
60.16536277,1.096594414,118.0799372,130.6895657,72,-38.55932384
61.10618093,1.109661333,118.8156224,130.1031306,72,-51.64762127
62.12416335,1.123799978,119.4472766,129.3048192,72,-45.48051575
63.12416335,1.137688867,120.1484284,128.5918071,72,-45.48051575
64.12416335,1.151577755,120.8495802,127.8787951,72,-45.48051575
65.12416335,1.165466644,121.5507319,127.165783,72,-45.48051575
66.12416335,1.179355533,122.2518837,126.452771,72,-45.48051575
67.12416335,1.193244422,122.9530355,125.7397589,72,-45.48051575
68.12416335,1.207133311,123.6541873,125.0267469,72,-45.48051575
69.12416335,1.2210222,124.355339,124.3137348,72,-45.48051575
70.12416335,1.234911089,125.0564908,123.6007228,72,-45.48051575
71.12416335,1.248799978,125.7576426,122.8877107,72,-45.48051575
72.12416335,1.262688867,126.4587944,122.1746987,72,-45.48051575
73.12416335,1.276577755,127.1599461,121.4616866,72,-45.48051575
74.12416335,1.290466644,127.8610979,120.7486746,72,-45.48051575
75.12416335,1.304355533,128.5622497,120.0356625,72,-45.48051575
76.12416335,1.318244422,129.2634015,119.3226504,72,-44.87146658
76.97565025,1.330070629,129.8668428,118.7219105,72,-43.65336825
77.82713715,1.341896836,130.4829184,118.1341344,72,-42.43526992
78.67862405,1.353723043,131.1113499,117.5595878,72,-41.21717159
79.53011095,1.36554925,131.7518533,116.9985303,72,-39.99907326
80.38159785,1.377375457,132.4041389,116.4512157,72,-38.78097493
81.23308475,1.389201664,133.0679121,115.9178911,72,-37.5628766
82.08457166,1.401027871,133.7428728,115.3987977,72,-36.34477827
82.93605856,1.412854078,134.428716,114.8941701,72,-35.12667995
83.78754546,1.424680285,135.1251318,114.4042363,72,-33.90858162
84.63903236,1.436506492,135.8318052,113.9292178,72,-32.69048329
85.49051926,1.448332699,136.548417,113.4693293,72,-31.47238496
86.34200616,1.460158906,137.2746433,113.0247785,72,-30.25428663
87.19349306,1.471985113,138.0101558,112.5957666,72,-29.0361883
88.04497996,1.48381132,138.7546221,112.1824872,72,-27.81808997
