Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in)
131.9842704987635,1,414.3491313108141,273.15358854956224,131.9842704987635,90,,,,,
132.9842704987635,1,415.243558501814,272.7063749540623,132.9842704987635,90,,,,,
133.9842704987635,1,416.1379856928139,272.2591613585624,133.9842704987635,90,,,,,
134.9842704987635,1,417.03241288381383,271.81194776306245,134.9842704987635,90,,,,,
135.9842704987635,1,417.92684007481375,271.3647341675625,135.9842704987635,90,,,,,
136.9842704987635,1,418.8212672658137,270.9175205720626,136.9842704987635,90,,,,,
137.9842704987635,1,419.7156944568136,270.47030697656265,137.9842704987635,90,,,,,
138.9842704987635,1,420.6101216478135,270.0230933810627,138.9842704987635,90,,,,,
139.9842704987635,1,421.50454883881343,269.5758797855628,139.9842704987635,90,,,,,
140.9842704987635,1,422.39897602981335,269.12866619006286,140.9842704987635,90,,,,,
141.9842704987635,1,423.2934032208133,268.6814525945629,141.9842704987635,90,,,,,
142.9842704987635,1,424.1878304118132,268.234238999063,142.9842704987635,90,,,,,
143.9842704987635,1,425.0822576028131,267.78702540356306,143.9842704987635,90,,,,,
144.9842704987635,1,425.97668479381304,267.33981180806313,144.9842704987635,90,,,,,
145.9842704987635,1,426.87111198481296,266.8925982125632,145.9842704987635,90,,,,,
146.9842704987635,1,427.7655391758129,266.44538461706327,146.9842704987635,90,,,,,
147.9842704987635,1,428.6599663668128,265.99817102156334,147.9842704987635,90,,,,,
148.9842704987635,1,429.5543935578127,265.5509574260634,148.9842704987635,90,,,,,
149.9842704987635,1,430.44882074881264,265.1037438305635,149.9842704987635,90,,,,,
150.9842704987635,1,431.34324793981256,264.65653023506354,150.9842704987635,90,,,,,
151.9842704987635,1,432.2376751308125,264.2093166395636,151.9842704987635,90,,,,,
152.9842704987635,1,433.1321023218124,263.7621030440637,152.9842704987635,90,,,,,
153.9842704987635,1,434.0265295128123,263.31488944856375,153.9842704987635,90,,,,,
154.9842704987635,1,434.92095670381224,262.8676758530638,154.9842704987635,90,,,,,
155.9842704987635,1,435.81538389481216,262.4204622575639,155.9842704987635,90,,,,,
156.9842704987635,1,436.7098110858121,261.97324866206395,156.9842704987635,90,,,,,
157.9842704987635,1,437.604238276812,261.526035066564,157.9842704987635,90,,,,,
158.9842704987635,1,438.4986654678119,261.0788214710641,158.9842704987635,90,,,,,
159.9842704987635,1,439.39309265881184,260.63160787556416,159.9842704987635,90,,,,,
160.9842704987635,1,440.28751984981176,260.1843942800642,160.9842704987635,90,,,,,
161.9842704987635,1,441.1819470408117,259.7371806845643,161.9842704987635,90,,,,,
162.9842704987635,1,442.0763742318116,259.28996708906436,162.9842704987635,90,,,,,
163.9842704987635,1,442.9708014228115,258.84275349356443,163.9842704987635,90,,,,,
164.9842704987635,1,443.86522861381144,258.3955398980645,164.9842704987635,90,,,,,
165.9842704987635,1,444.75965580481136,257.94832630256457,165.9842704987635,90,,,,,
166.9842704987635,1,445.6540829958113,257.50111270706464,166.9842704987635,90,,,,,
167.9842704987635,1,446.5485101868112,257.0538991115647,167.9842704987635,90,,,,,
168.9842704987635,1,447.4429373778111,256.6066855160648,168.9842704987635,90,,,,,
169.9842704987635,1,448.33736456881104,256.15947192056484,169.9842704987635,90,,,,,
170.9842704987635,1,449.23179175981096,255.71225832506488,170.9842704987635,90,,,,,
171.9842704987635,1,450.1262189508109,255.26504472956492,171.9842704987635,90,,,,,
172.9842704987635,1,451.0206461418108,254.81783113406496,172.9842704987635,90,,,,,
173.9842704987635,1,451.9150733328107,254.370617538565,173.9842704987635,90,,,,,
174.9842704987635,1,452.80950052381064,253.92340394306504,174.9842704987635,90,,,,,
175.9842704987635,1,453.70392771481056,253.47619034756508,175.9842704987635,90,,,,,
176.9842704987635,1,454.5983549058105,253.02897675206512,176.9842704987635,90,,,,,
177.9842704987635,1,455.4927820968104,252.58176315656516,177.9842704987635,90,,,,,
178.9842704987635,1,456.3872092878103,252.1345495610652,178.9842704987635,90,,,,,
179.9842704987635,1,457.28163647881024,251.68733596556524,179.9842704987635,90,,,,,
180.9842704987635,1,458.17606366981016,251.24012237006528,180.9842704987635,90,,,,,
181.9842704987635,1,459.0704908608101,250.79290877456532,181.9842704987635,90,,,,,
182.9842704987635,1,459.96491805181,250.34569517906536,182.9842704987635,90,,,,,
183.9842704987635,1,460.8593452428099,249.8984815835654,183.9842704987635,90,,,,,
184.9842704987635,1,461.75377243380984,249.45126798806544,184.9842704987635,90,,,,,
185.9842704987635,1,462.64819962480976,249.00405439256548,185.9842704987635,90,,,,,
186.9842704987635,1,463.5426268158097,248.55684079706552,186.9842704987635,90,,,,,
187.9842704987635,1,464.4370540068096,248.10962720156556,187.9842704987635,90,,,,,
188.9842704987635,1,465.3314811978095,247.6624136060656,188.9842704987635,90,,,,,
189.9842704987635,1,466.22590838880944,247.21520001056564,189.9842704987635,90,,,,,
190.9842704987635,1,467.12033557980936,246.76798641506568,190.9842704987635,90,,,,,
191.9842704987635,1,468.0147627708093,246.32077281956572,191.9842704987635,90,,,,,
192.9842704987635,1,468.9091899618092,245.87355922406576,192.9842704987635,90,,,,,
193.9842704987635,1,469.8036171528091,245.4263456285658,193.9842704987635,90,,,,,
194.9842704987635,1,470.69804434380904,244.97913203306584,194.9842704987635,90,,,,,
195.9842704987635,1,471.59247153480896,244.53191843756588,195.9842704987635,90,,,,,
196.9842704987635,1,472.4868987258089,244.08470484206592,196.9842704987635,90,,,,,
198.02351162474173,1,473.24033196397613,243.3689112450358,198.02351162474173,90,,,,,
199.0234949581584,1,474.12103723986706,242.8952817652428,199.0234949581584,90,,,,,
200.0234782915751,1,474.9920944224716,242.40413407692066,200.0234782915751,90,,,,,
201.02346162499174,1,475.8531551005306,241.89566463259615,201.02346162499174,90,,,,,
202.02344495840842,1,476.70387486125355,241.37007681326753,202.02344495840842,90,,,,,
203.02342829182507,1,477.5439134280789,240.82758084705478,203.02342829182507,90,,,,,
204.02341162524175,1,478.3729347967803,240.2683937251112,204.02341162524175,90,,,,,
205.0233949586584,1,479.19060736986376,239.6927391148298,205.0233949586584,90,,,,,
206.02337829207505,1,479.99660408920215,239.10084727037946,206.02337829207505,90,,,,,
207.02336162549176,1,480.7906025668543,238.49295494060615,207.02336162549176,90,,,,,
208.0233449589084,1,481.57228521401555,237.86930527433665,208.0233449589084,90,,,,,
209.0233282923251,1,482.34133936804943,237.2301477231223,209.0233282923251,90,,,,,
210.02331162574177,1,483.0974574175482,236.57573794146148,210.02331162574177,90,,,,,
