Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg)
155.8031338,5.275952304,185.7333836,75.06288377,39.97748029,-64.57009537
156.8031338,5.301893646,186.1627901,74.15977248,37.11953316,-64.57009537
157.8031338,5.32991226,186.5921967,73.25666118,34.26158603,-64.57009537
158.8031338,5.360369781,187.0216033,72.35354989,31.40363889,-64.57009537
159.8031338,5.393731288,187.4510098,71.4504386,28.54569176,-64.57009537
160.8031338,5.430608907,187.8804164,70.5473273,25.68774463,-64.57009537
161.8031338,5.471831111,188.3098229,69.64421601,22.8297975,-64.57009537
162.8031338,5.518558284,188.7392295,68.74110471,19.97185036,-64.57009537
163.8031338,5.572487348,189.168636,67.83799342,17.11390323,-64.57009537
164.8031338,5.636242814,189.5980426,66.93488213,14.2559561,-64.57009537
165.8031338,5.714203472,190.0274492,66.03177083,11.39800897,-64.57009537
166.8031338,5.81451408,190.4568557,65.12865954,8.540061833,-64.57009537
167.8031338,5.955139532,190.8862623,64.22554825,5.682114701,-64.57009537
168.8031338,6.190259874,191.3156688,63.32243695,2.824167568,-64.57009537
169.7913143,6.890062882,191.74,62.43,0,-64.57009537
